text,tokenized,cluster
pejuang sembuh penyakit gerd anxiety,pejuang sembuh penyakit gerd anxiety,0
yang fobia sosial saja,yang fobia sosial saja,0
mengembalikan semangat gimana,mengembalikan semangat gimana,0
perasaan  sudah,perasaan sudah,0
interaksi orang tidak cemas,interaksi orang tidak cemas,0
ada sakit perut jarang bab,ada sakit perut jarang bab,0
apa yang cocok minum madu,apa yang cocok minum madu,0
penyakit ini hilang yah,penyakit ini hilang yah,0
semngat teman kita sembuh,semngat teman kita sembuh,0
yang minum obat psikiater,yang minum obat psikiater,0
penyakit biasanya takut apa,penyakit biasanya takut apa,0
ada mengalami ini,ada mengalami ini,0
gimana rasanya anak introvert,gimana rasanya anak introvert,0
tau aku banyak pikiran,tau aku banyak pikiran,0
sering malam tidur siankya tidur,sering malam tidur siankya tidur,0
gimana rasanya anak introvert,gimana rasanya anak introvert,0
hari tambah kesal mental,hari tambah kesal mental,0
pusing pikiran mati ya allah,pusing pikiran mati ya allah,0
tuhan adil ingin kerja bisa,tuhan adil ingin kerja bisa,0
ada sering sesak dada,ada sering sesak dada,0
pikiran lalu berasa hilang cemas,pikiran lalu berasa hilang cemas,0
pikiran mati padahal sensasi,pikiran mati padahal sensasi,0
perasaan takut dekat orang,perasaan takut dekat orang,0
berasa jauhi orang sakit rasa,berasa jauhi orang sakit rasa,0
adakah teman cewek bisa ajak curhat,adakah teman cewek bisa ajak curhat,0
pikiran lalu berasa hilang cemas,pikiran lalu berasa hilang cemas,0
kamu yang di hidupmu,kamu yang di hidupmu,0
allah tolong sembuh penyakit,allah tolong sembuh penyakit,0
ku jd pendengar baik allah,ku jd pendengar baik allah,0
dan musik kakak perempuanku suka nyanyi,dan musik kakak perempuanku suka nyanyi,0
sedih kerja tidak dukungan,sedih kerja tidak dukungan,0
tuhan adil ingin kerja bisa,tuhan adil ingin kerja bisa,0
depresi berat ingin mati,depresi berat ingin mati,0
kerja haru suka kacau,kerja haru suka kacau,0
rata orang meninggal umur di,rata orang meninggal umur di,0
enak ya menjadi dharma pongrekun,enak ya menjadi dharma pongrekun,0
cemas enak hati sama tidak sih,cemas enak hati sama tidak sih,0
butuh teman curhat tidak kuwat mikir,butuh teman curhat tidak kuwat mikir,0
kali halusinasi sakit kepala,kali halusinasi sakit kepala,0
ana sensasi pikiran mati,ana sensasi pikiran mati,0
kerasa mau piala dunia saja,kerasa mau piala dunia saja,0
panik gragra dada kiri seperti tusuk,panik gragra dada kiri seperti tusuk,0
kepala hangat panas karena ya,kepala hangat panas karena ya,0
obat clobazam diketerangannya minum malam,obat clobazam diketerangannya minum malam,0
gimana sudah menahun seperti,gimana sudah menahun seperti,0
pusing sama orang tidak tau malu,pusing sama orang tidak tau malu,0
punya teman meluahkan isi kepala,punya teman meluahkan isi kepala,0
betul tidak kerja orang,betul tidak kerja orang,0
tidak gys  pernah,tidak gys pernah,0
yang kalau tidur ketindihan,yang kalau tidur ketindihan,0
hanya yang cemas lebaran,hanya yang cemas lebaran,0
gimana perasaan kalau ngadu ibu,gimana perasaan kalau ngadu ibu,0
yang sakit kepala sebalah kiri,yang sakit kepala sebalah kiri,0
tidak kakak kesemutan kepala,tidak kakak kesemutan kepala,0
nyeri dada kiri,nyeri dada kiri,0
tidak grup pribadi mau nya,tidak grup pribadi mau nya,0
pikiran cemas dikit langsung kumat panik,pikiran cemas dikit langsung kumat panik,0
jadi beban orang banyak benci,jadi beban orang banyak benci,0
terimakasih kakak terima di grup,terimakasih kakak terima di grup,0
mulut asam tenggerokan sakit allah,mulut asam tenggerokan sakit allah,0
bisa tidur semalam sekarang,bisa tidur semalam sekarang,0
ulu hati sakit perasaan,ulu hati sakit perasaan,0
enak ya jadi orang batak,enak ya jadi orang batak,0
perut panas tidak perih yaa,perut panas tidak perih yaa,0
