text,tokenized,cluster
teman info obat axinety apa,teman info obat axinety apa,3
teman info obat axinety apa,teman info obat axinety apa,3
adalah hari ulang ku,adalah hari ulang ku,3
yang akun dokter siapa,yang akun dokter siapa,3
mual perut ku di obok obok,mual perut ku di obok obok,3
adakah grup yang fobia sosial,adakah grup yang fobia sosial,3
tanya ditempat dapat teman,tanya ditempat dapat teman,3
ya kita kerja nurut bos,ya kita kerja nurut bos,3
sini tidak ketakutan tetangga,sini tidak ketakutan tetangga,3
postingan lama di setujuin,postingan lama di setujuin,3
bab berdarah cemas panik,bab berdarah cemas panik,3
sensasi naik roller coaster,sensasi naik roller coaster,3
ada teman dikerjaan pemalu,ada teman dikerjaan pemalu,3
selagi tempat sosial tidak nyaman,selagi tempat sosial tidak nyaman,3
menjadi harus baik,menjadi harus baik,3
juga ide bisa lulus cepat,juga ide bisa lulus cepat,3
sudah magrib sambut pikiran seram,sudah magrib sambut pikiran seram,3
setiap malam sering sepi,setiap malam sering sepi,3
ya cepat bosan hal apapun,ya cepat bosan hal apapun,3
suka kesal ada gosip ngumpul,suka kesal ada gosip ngumpul,3
kabar sos gimana mental,kabar sos gimana mental,3
salam kenal kakak tolong kasih solusi,salam kenal kakak tolong kasih solusi,3
patah hati ibu anaknya sakit,patah hati ibu anaknya sakit,3
bunga telang bagus untuk gerd,bunga telang bagus untuk gerd,3
kabar sos gimana mental,kabar sos gimana mental,3
tinggal jepang lebih enak,tinggal jepang lebih enak,3
ke tempat damai tenang,ke tempat damai tenang,3
susah nyari uang introvert,susah nyari uang introvert,3
kesal yang namanya hormon sexual,kesal yang namanya hormon sexual,3
ada pernah coba minum cuka apel,ada pernah coba minum cuka apel,3
adakah terbangun langsung cemas pusing,adakah terbangun langsung cemas pusing,3
yang benjolan leher,yang benjolan leher,3
hanya ketakutan orang pemalas,hanya ketakutan orang pemalas,3
sumpah cemas mau kumpulan,sumpah cemas mau kumpulan,3
th sembuh alhamdulilah,th sembuh alhamdulilah,3
tensi harus minum obat tensi,tensi harus minum obat tensi,3
sini yang mimpi hajatan,sini yang mimpi hajatan,3
suka seseorang kendaraanya,suka seseorang kendaraanya,3
ngomong kesana kemari curhat penyakit mental,ngomong kesana kemari curhat penyakit mental,3
perbedaan gerd anxiety fobia sosial,perbedaan gerd anxiety fobia sosial,3
allah aku berperilaku buruk,allah aku berperilaku buruk,3
tidak sini umur menyendiri parah,tidak sini umur menyendiri parah,3
yang takut bab kamar mandi,yang takut bab kamar mandi,3
tidak sini umur menyendiri parah,tidak sini umur menyendiri parah,3
yang mengalami pikiran was sini,yang mengalami pikiran was sini,3
bangun tidur tiba sensasi kecekik,bangun tidur tiba sensasi kecekik,3
enak kalau publik bicara,enak kalau publik bicara,3
susah menelan susah nafas lemess,susah menelan susah nafas lemess,3
ada rambutnya rontok parah,ada rambutnya rontok parah,3
tidak sini umur menyendiri parah,tidak sini umur menyendiri parah,3
tipes tidak panas,tipes tidak panas,3
fokus kerja kepikiran mantan,fokus kerja kepikiran mantan,3
selamat pagi salam sehat bahagia,selamat pagi salam sehat bahagia,3
adakah grup whatsapp khusus penderita anxiety,adakah grup whatsapp khusus penderita anxiety,3
hidup seserius kok berani anak,hidup seserius kok berani anak,3
bisa tidur hidung mampet tidak flu,bisa tidur hidung mampet tidak flu,3
gimana tidak bahan candaan teman,gimana tidak bahan candaan teman,3
nyari teman daerah tasik ciamis tidak,nyari teman daerah tasik ciamis tidak,3
sering bermasalah sama tetangga,sering bermasalah sama tetangga,3
semoga bermanfaatterima kasih bergabung,semoga bermanfaatterima kasih bergabung,3
orang tuaku sakit sekarng takut panik,orang tuaku sakit sekarng takut panik,3
perut trsa penuh enggap sesak takut sakit,perut trsa penuh enggap sesak takut sakit,3
badan goyang keliengan mata ada sama,badan goyang keliengan mata ada sama,3
kalau laper perut perrih,kalau laper perut perrih,3
yang pernah air liur berlebih,yang pernah air liur berlebih,3
kepala sempoyongan lagi dirumah,kepala sempoyongan lagi dirumah,3
kesal aku ngadepin kenyataan hidup,kesal aku ngadepin kenyataan hidup,3
gimana cara ngehilangin sifat enakan,gimana cara ngehilangin sifat enakan,3
yang bangun jam segini keringatan lemes,yang bangun jam segini keringatan lemes,3
teman cerita kalian fobia sosial,teman cerita kalian fobia sosial,3
sos mau nagih gaji bos hari,sos mau nagih gaji bos hari,3
hari pngin mnum obat pereda sakit,hari pngin mnum obat pereda sakit,3
kamu tidak hargai pergilah,kamu tidak hargai pergilah,3
yang sempoyongan hari si,yang sempoyongan hari si,3
yang bandung jujur butuh teman,yang bandung jujur butuh teman,3
yang suka kedutan perut pinggang lengan,yang suka kedutan perut pinggang lengan,3
dengan badan gerak seirama detak jantung,dengan badan gerak seirama detak jantung,3
lagi cemas muka tegang kaku berat,lagi cemas muka tegang kaku berat,3
agar selalu berpikir buruk gimana,agar selalu berpikir buruk gimana,3
penyakit sih hari putus asa,penyakit sih hari putus asa,3
makan nasi goreng pedas dtengah sensasi anxiety,makan nasi goreng pedas dtengah sensasi anxiety,3
buka fb pakai browser tidak,buka fb pakai browser tidak,3
tidak sampai depresi anxieti,tidak sampai depresi anxieti,3
gimana cara ngilangin tegang orang ruma,gimana cara ngilangin tegang orang ruma,3
lagi kambuh shalat bisa konsentrasi,lagi kambuh shalat bisa konsentrasi,3
haid ku berhenti pengalaman ibu,haid ku berhenti pengalaman ibu,3
sos gimana nya jd berani sos,sos gimana nya jd berani sos,3
saraf kejepit buat kepala sakit,saraf kejepit buat kepala sakit,3
di jajah anxiety bagaimna mengatasinya,di jajah anxiety bagaimna mengatasinya,3
tidak sini telinga suka berdenging,tidak sini telinga suka berdenging,3
kerja tiba lemes bertenaga,kerja tiba lemes bertenaga,3
duduk kleyengan badan di ayun,duduk kleyengan badan di ayun,3
sedih kalau sebentar mau lulus kuliah,sedih kalau sebentar mau lulus kuliah,3
badan lemas keringet dingin pikiran kemana,badan lemas keringet dingin pikiran kemana,3
sore menjelang malam kepala pusing,sore menjelang malam kepala pusing,3
aku stuck dirumah aku gabisa apa,aku stuck dirumah aku gabisa apa,3
badan mau slowmoo parno enakk,badan mau slowmoo parno enakk,3
ada dari tambun bekasi,ada dari tambun bekasi,3
fobia sosial ku parah hidup hutan,fobia sosial ku parah hidup hutan,3
tidur berhari teman,tidur berhari teman,3
adakah penderita anxienty sembuh obat,adakah penderita anxienty sembuh obat,3
yang obat cemas berlebih daerah jateng,yang obat cemas berlebih daerah jateng,3
ngerasa tidak tempat bercerita,ngerasa tidak tempat bercerita,3
aman mulai mengotrol pikiran,aman mulai mengotrol pikiran,3
jalan kaki untuk kardio daya tahan tubuh,jalan kaki untuk kardio daya tahan tubuh,3
beli obat cemas alprazolam dimana,beli obat cemas alprazolam dimana,3
tidak pas berdiri pusing keliengan,tidak pas berdiri pusing keliengan,3
pekerjaan cocok orang yang emosian,pekerjaan cocok orang yang emosian,3
tidak kena anxiety daging kambing,tidak kena anxiety daging kambing,3
